編號,類別,料理名稱,解鎖等級,食材1,食材2,食材3,食材4,食材5,專精初階(160次),專精專家(480次),專精大師(960次)
1,特殊料理,奇怪的食物,-,烹飪失敗（食物燒焦）,,,,,160,480,960
2,特殊料理,奇怪的飲料,-,烹飪失敗（飲料燒焦）,,,,,160,480,960
3,特殊料理,田園沙拉,Lv.1,任意蔬菜 x2,,,,,160,480,960
4,特殊料理,溫泉蛋,Lv.1,溫泉蛋（Onsen Lake收集）,,,,,160,480,960
5,果醬與醬料類,什錦果醬,Lv.1,混合水果 x4,,,,,160,480,960
6,果醬與醬料類,蘋果醬,Lv.1,蘋果 x4,,,,,160,480,960
7,果醬與醬料類,樹莓果醬,Lv.1,樹莓 x4,,,,,160,480,960
8,果醬與醬料類,藍莓果醬,Lv.1,藍莓 x4,,,,,160,480,960
9,果醬與醬料類,橘子果醬,Lv.1,橘子 x4,,,,,160,480,960
10,果醬與醬料類,鳳梨果醬,Lv.1,鳳梨 x4,,,,,160,480,960
11,果醬與醬料類,葡萄果醬,Lv.1,葡萄 x4,,,,,160,480,960
12,果醬與醬料類,草莓果醬,Lv.1,草莓 x4,,,,,160,480,960
13,果醬與醬料類,番茄醬,Lv.1,番茄 x4,,,,,160,480,960
14,果醬與醬料類,巧克力醬,Lv.1,可可 x4,,,,,160,480,960
15,果醬與醬料類,混合果醬（柑橘）,Lv.1,混合水果 x4,,,,,160,480,960
16,果醬與醬料類,混合果醬（蘋果）,Lv.1,混合水果 x4,,,,,160,480,960
17,果醬與醬料類,混合果醬（藍莓）,Lv.1,混合水果 x4,,,,,160,480,960
18,果醬與醬料類,混合果醬（番茄）,Lv.1,混合水果 x4,,,,,160,480,960
19,果醬與醬料類,混合果醬（覆盆子）,Lv.1,混合水果 x4,,,,,160,480,960
20,烤蘑菇系列,烤蘑菇（混合）,Lv.1,任意蘑菇 x4,,,,,160,480,960
21,烤蘑菇系列,烤平菇,Lv.1,平菇 x4,,,,,160,480,960
22,烤蘑菇系列,烤香菇,Lv.1,香菇 x4,,,,,160,480,960
23,烤蘑菇系列,烤洋菇,Lv.1,洋菇 x4,,,,,160,480,960
24,烤蘑菇系列,烤牛肝菌,Lv.1,牛肝菌 x4,,,,,160,480,960
25,蘑菇派系列,蘑菇派（混合）,Lv.1,任意蘑菇 x2,小麥,雞蛋,,,160,480,960
26,蘑菇派系列,平菇派,Lv.1,平菇 x2,小麥,雞蛋,,,160,480,960
27,蘑菇派系列,香菇派,Lv.1,香菇 x2,小麥,雞蛋,,,160,480,960
28,蘑菇派系列,洋菇派,Lv.1,洋菇 x2,小麥,雞蛋,,,160,480,960
29,蘑菇派系列,牛肝菌派,Lv.1,牛肝菌 x2,小麥,雞蛋,,,160,480,960
30,蘑菇派系列,美味牛肝菌派,Lv.1,美味牛肝菌 x2,小麥,雞蛋,,,160,480,960
31,蘑菇派系列,黑松露派,Lv.1,黑松露 x2,小麥,雞蛋,,,160,480,960
32,主食/飲品/甜點,奶酪蛋糕,Lv.1,奶酪,牛奶,小麥,,,160,480,960
33,主食/飲品/甜點,炸魚薯條,Lv.1,任意魚類 x2,馬鈴薯 x2,,,,160,480,960
34,主食/飲品/甜點,咖啡,Lv.2,咖啡豆 x4,,,,,160,480,960
35,主食/飲品/甜點,咖啡拿鐵,Lv.2,咖啡豆 x2,牛奶 x2,,,,160,480,960
36,主食/飲品/甜點,燻魚貝果,Lv.2,任意魚 x1,乳酪,任意蔬菜,小麥,,160,480,960
37,主食/飲品/甜點,海鮮燴飯,Lv.3,任意貝類 x2,小麥,番茄,,,160,480,960
